brand,year,model,elem_X,elem_XX,part_name
MERCEDES-BENZ,2023,GLS450,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLE53 AMG,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,SL55 AMG,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLE63 AMG,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLE580,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLE450,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLA250,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLB250,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLE350,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,AMG GT 63,4.0L V8 ELECTRIC/GAS Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,EQS 450+,ELECTRIC,Cooling System,Coolant / Antifreeze
MERCEDES-BENZ,2023,CLA35 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,CLA45 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,EQS AMG,ELECTRIC,Interior,Radio Module Interface
MERCEDES-BENZ,2023,CLS450,3.0L L6 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,AMG GT 43,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,AMG GT 53,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,AMG GT 43,3.0L L6 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2023,AMG GT 53,3.0L L6 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2023,CLA45 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLB35 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,CLS450,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLA35 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,CLA45 AMG,2.0L L4 Turbocharged,Suspension,Shock / Strut
MERCEDES-BENZ,2023,GLA45 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,CLA250,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,CLA35 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,G63 AMG,4.0L V8 Turbocharged,Suspension,Shock / Strut
MERCEDES-BENZ,2023,G550,4.0L V8 Turbocharged,Suspension,Shock / Strut
MERCEDES-BENZ,2023,GLA45 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLB35 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,C300,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2023,GLA35 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,A250,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2023,AMG GT 63,4.0L V8 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2022,A35 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2022,A250,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,EQB 300,ELECTRIC,Cooling System,Coolant / Antifreeze
MERCEDES-BENZ,2022,A35 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,CLA35 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2022,CLA45 AMG,2.0L L4 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2022,EQS 450+,ELECTRIC,Cooling System,Coolant / Antifreeze
MERCEDES-BENZ,2022,EQS 450+,ELECTRIC,Interior,Radio Module Interface
MERCEDES-BENZ,2022,CLS450,3.0L L6 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2022,CLS53 AMG,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,AMG GT 43,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,AMG GT 43,3.0L L6 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2022,AMG GT 53,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,E53 AMG,3.0L L6 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2022,AMG GT 53,3.0L L6 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2022,CLA45 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,GLE580,4.0L V8 Turbocharged,Electrical,Battery
MERCEDES-BENZ,2022,CLA35 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,MAYBACH S680,6.0L V12 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,CLS450,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,A220,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,MAYBACH S580,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,A220,2.0L L4 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2022,E53 AMG,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,S500,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,CLA250,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,S580,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,GLE63 AMG,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,GLE450,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,C43 AMG,3.0L V6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,GLE580,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,E450,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,GLE350,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,E350,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,GLC300,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,C300,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2022,SPRINTER 1500,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCURY,2008,MOUNTAINEER,4.0L V6,Drivetrain,Universal Joint
