brand,year,model,elem_X,elem_XX,part_name
MERCEDES-BENZ,2020,AMG GT 63,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,A220,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,CLA45 AMG,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,AMG GT 63,4.0L V8 Turbocharged,Suspension,Suspension Kit
MERCEDES-BENZ,2020,CLS450,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,CLA250,2.0L L4 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,GLC350E,2.0L L4 ELECTRIC/GAS Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,E53 AMG,3.0L L6 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,G63 AMG,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,GLC63 AMG,4.0L V8 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,MAYBACH S650,6.0L V12 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,G550,4.0L V8 Turbocharged,Interior,Radio Module Interface
MERCEDES-BENZ,2020,GLE580,4.0L V8 Turbocharged,Electrical,Battery Cable
MERCEDES-BENZ,2020,G63 AMG,4.0L V8 Turbocharged,Suspension,Shock / Strut
MERCEDES-BENZ,2020,GLE350,2.0L L4 Turbocharged,Electrical,Battery Cable
